Time,accX,accY,accZ,DT,Hour
1573584489799.0,7.9646287,9.234233,4.490437,2019-11-12 12:48:09.799000-06:00,2019-11-12 12:00
1573584489820.0,7.157352400000001,10.017555,8.306434,2019-11-12 12:48:09.820000-06:00,2019-11-12 12:00
1573584489840.0,6.0722013,7.435229,8.998727,2019-11-12 12:48:09.840000-06:00,2019-11-12 12:00
1573584489859.0,4.500767,4.622937,8.768761,2019-11-12 12:48:09.859000-06:00,2019-11-12 12:00
1573584489879.0,0.7566341,3.5449717000000005,10.716285000000001,2019-11-12 12:48:09.879000-06:00,2019-11-12 12:00
1573584489900.0,-1.1333984,1.233335,11.799042,2019-11-12 12:48:09.900000-06:00,2019-11-12 12:00
1573584489920.0,-1.4424151,-1.1405842,11.030092999999999,2019-11-12 12:48:09.920000-06:00,2019-11-12 12:00
1573584489940.0,-2.6569228,-1.6675895,10.505483,2019-11-12 12:48:09.940000-06:00,2019-11-12 12:00
1573584489960.0,-3.4929447,-1.7490358,9.269416,2019-11-12 12:48:09.960000-06:00,2019-11-12 12:00
1573584489981.0,-3.6007411,-1.4352280000000002,7.697983,2019-11-12 12:48:09.981000-06:00,2019-11-12 12:00
1573584490001.0,-3.8522665999999997,-1.3154541000000002,7.367407000000001,2019-11-12 12:48:10.001000-06:00,2019-11-12 12:00
1573584490021.0,-4.0966053,-0.9633187,7.293146000000001,2019-11-12 12:48:10.021000-06:00,2019-11-12 12:00
1573584490041.0,-4.0319275999999995,-0.1799973,6.847587599999999,2019-11-12 12:48:10.041000-06:00,2019-11-12 12:00
1573584490061.0,-2.8605384999999997,0.80933535,6.988921,2019-11-12 12:48:10.061000-06:00,2019-11-12 12:00
1573584490081.0,-1.3992963999999999,1.7579448,7.005689,2019-11-12 12:48:10.081000-06:00,2019-11-12 12:00
1573584490101.0,0.15776455,2.749673,6.773328,2019-11-12 12:48:10.101000-06:00,2019-11-12 12:00
1573584490121.0,2.4789833999999997,4.2300787,6.1265483,2019-11-12 12:48:10.121000-06:00,2019-11-12 12:00
1573584490141.0,4.876857,5.748812,4.3898263,2019-11-12 12:48:10.141000-06:00,2019-11-12 12:00
1573584490161.0,5.7991166,6.2422805,3.7023243999999997,2019-11-12 12:48:10.161000-06:00,2019-11-12 12:00
1573584490181.0,5.6050825,5.904518,4.5646963,2019-11-12 12:48:10.181000-06:00,2019-11-12 12:00
1573584490202.0,6.043455000000001,6.3380995,4.2844253,2019-11-12 12:48:10.202000-06:00,2019-11-12 12:00
1573584490222.0,6.477037,6.603998,5.096493,2019-11-12 12:48:10.222000-06:00,2019-11-12 12:00
1573584490242.0,7.7202896999999995,7.023206,4.8641315,2019-11-12 12:48:10.242000-06:00,2019-11-12 12:00
1573584490262.0,8.898866,7.4232516,4.4137816,2019-11-12 12:48:10.262000-06:00,2019-11-12 12:00
1573584490282.0,9.023431,7.4256470000000006,5.3096905,2019-11-12 12:48:10.282000-06:00,2019-11-12 12:00
1573584490302.0,8.429352,6.6423254,5.932515,2019-11-12 12:48:10.302000-06:00,2019-11-12 12:00
1573584490322.0,8.515589,6.218326,4.7754984,2019-11-12 12:48:10.322000-06:00,2019-11-12 12:00
1573584490343.0,8.470075,6.0027328,3.1849008,2019-11-12 12:48:10.343000-06:00,2019-11-12 12:00
1573584490363.0,8.060448,5.882959,3.0076354,2019-11-12 12:48:10.363000-06:00,2019-11-12 12:00
1573584490383.0,7.933488400000001,5.8063035,3.3022795,2019-11-12 12:48:10.383000-06:00,2019-11-12 12:00
1573584490403.0,7.835273299999999,5.8063035,3.7622112999999997,2019-11-12 12:48:10.403000-06:00,2019-11-12 12:00
1573584490423.0,7.844855,5.88775,4.753939599999999,2019-11-12 12:48:10.423000-06:00,2019-11-12 12:00
1573584490443.0,7.959838400000001,5.799117,5.053374,2019-11-12 12:48:10.443000-06:00,2019-11-12 12:00
1573584490463.0,8.220944,5.7655807,3.73107,2019-11-12 12:48:10.463000-06:00,2019-11-12 12:00
1573584490483.0,8.113149,5.6410155,3.0339856,2019-11-12 12:48:10.483000-06:00,2019-11-12 12:00
1573584490503.0,7.617285000000001,5.413444999999999,3.5011038999999995,2019-11-12 12:48:10.503000-06:00,2019-11-12 12:00
1573584490523.0,7.2052627000000005,5.300857499999999,3.800539,2019-11-12 12:48:10.523000-06:00,2019-11-12 12:00
1573584490544.0,6.972900999999999,4.9726767999999995,4.186211,2019-11-12 12:48:10.544000-06:00,2019-11-12 12:00
1573584490564.0,6.6111835999999995,4.733129,4.6796794,2019-11-12 12:48:10.564000-06:00,2019-11-12 12:00
1573584490584.0,6.4147544000000005,4.546282,5.041397,2019-11-12 12:48:10.584000-06:00,2019-11-12 12:00
1573584490604.0,6.352472,4.4001575,5.177939,2019-11-12 12:48:10.604000-06:00,2019-11-12 12:00
1573584490624.0,6.2494664,4.38818,4.856945,2019-11-12 12:48:10.624000-06:00,2019-11-12 12:00
1573584490645.0,6.218325,4.076768,5.0390015,2019-11-12 12:48:10.645000-06:00,2019-11-12 12:00
1573584490665.0,6.136879,3.6479769999999996,5.8007636,2019-11-12 12:48:10.665000-06:00,2019-11-12 12:00
1573584490685.0,6.2039523,3.5042486000000004,6.0762434,2019-11-12 12:48:10.685000-06:00,2019-11-12 12:00
1573584490705.0,6.4458957,3.851593,5.9900064,2019-11-12 12:48:10.705000-06:00,2019-11-12 12:00
1573584490725.0,6.987274,4.1031184000000005,5.7097354000000005,2019-11-12 12:48:10.725000-06:00,2019-11-12 12:00
1573584490745.0,7.4759517,4.1749825,5.5947523,2019-11-12 12:48:10.745000-06:00,2019-11-12 12:00
1573584490766.0,7.739453999999999,4.1869597,5.73369,2019-11-12 12:48:10.766000-06:00,2019-11-12 12:00
1573584490786.0,7.552606599999999,4.2181014999999995,5.8702326,2019-11-12 12:48:10.786000-06:00,2019-11-12 12:00
1573584490806.0,7.3513865,4.3043385,6.3852606,2019-11-12 12:48:10.806000-06:00,2019-11-12 12:00
1573584490826.0,7.152562,4.337875,6.363701,2019-11-12 12:48:10.826000-06:00,2019-11-12 12:00
1573584490846.0,6.958528,4.3905754,5.690571299999999,2019-11-12 12:48:10.846000-06:00,2019-11-12 12:00
1573584490866.0,6.788449000000001,4.285174400000001,4.998278,2019-11-12 12:48:10.866000-06:00,2019-11-12 12:00
1573584490886.0,6.853127000000001,4.354643299999999,4.8497585999999995,2019-11-12 12:48:10.886000-06:00,2019-11-12 12:00
1573584490906.0,6.8507314,4.4504623,4.2844253,2019-11-12 12:48:10.906000-06:00,2019-11-12 12:00
1573584490926.0,6.479432599999999,4.210915,3.7190924,2019-11-12 12:48:10.926000-06:00,2019-11-12 12:00
1573584490947.0,6.0985513,4.0432315,3.52985,2019-11-12 12:48:10.947000-06:00,2019-11-12 12:00
1573584490967.0,5.8398395,3.8635707000000004,3.661601,2019-11-12 12:48:10.967000-06:00,2019-11-12 12:00
1573584490987.0,6.048246,3.921062,3.565782,2019-11-12 12:48:10.987000-06:00,2019-11-12 12:00
1573584491007.0,6.8698955,4.1150956,3.7693977,2019-11-12 12:48:11.007000-06:00,2019-11-12 12:00
1573584491027.0,7.150166499999999,3.887525,4.8904815,2019-11-12 12:48:11.027000-06:00,2019-11-12 12:00
1573584491047.0,6.891454700000001,3.9282483999999998,4.988696599999999,2019-11-12 12:48:11.047000-06:00,2019-11-12 12:00
1573584491067.0,6.817195,4.100723,4.7802896,2019-11-12 12:48:11.067000-06:00,2019-11-12 12:00
1573584491087.0,6.941759599999999,4.385785,5.5444474,2019-11-12 12:48:11.087000-06:00,2019-11-12 12:00
1573584491107.0,7.188494,4.678033,5.951678299999999,2019-11-12 12:48:11.107000-06:00,2019-11-12 12:00
