Time,rotX,rotY,rotZ,DT,Hour
1573584492443.0,-0.00769236,-0.0946778,0.15189652,2019-11-12 12:48:12.443000-06:00,2019-11-12 12:00
1573584492493.0,-0.11355672,-0.17375377,-0.055318772999999995,2019-11-12 12:48:12.493000-06:00,2019-11-12 12:00
1573584492543.0,-0.32793835,-0.19992489,-0.16510563,2019-11-12 12:48:12.543000-06:00,2019-11-12 12:00
1573584492593.0,-0.31936929999999997,-0.19762959,-0.04656423,2019-11-12 12:48:12.593000-06:00,2019-11-12 12:00
1573584492643.0,-0.10487791,-0.14401874,0.11557062,2019-11-12 12:48:12.643000-06:00,2019-11-12 12:00
1573584492692.0,-0.0544799,-0.12708919,0.09905863,2019-11-12 12:48:12.692000-06:00,2019-11-12 12:00
1573584492743.0,-0.09919428,-0.08090101,0.0047869565999999995,2019-11-12 12:48:12.743000-06:00,2019-11-12 12:00
1573584492793.0,-0.14228612,-0.09199868,-0.013911918,2019-11-12 12:48:12.793000-06:00,2019-11-12 12:00
1573584492843.0,-0.07733593,-0.14602895,-0.027555938999999998,2019-11-12 12:48:12.843000-06:00,2019-11-12 12:00
1573584492893.0,-0.025768617,-0.17111473,-0.010574958999999998,2019-11-12 12:48:12.893000-06:00,2019-11-12 12:00
1573584492942.0,-0.030227136,-0.13129924,-0.016675692,2019-11-12 12:48:12.942000-06:00,2019-11-12 12:00
1573584492992.0,-0.031873714,-0.093429826,-0.09248087,2019-11-12 12:48:12.992000-06:00,2019-11-12 12:00
1573584493043.0,-0.010058550999999999,-0.13771407,-0.14079157,2019-11-12 12:48:13.043000-06:00,2019-11-12 12:00
1573584493093.0,0.0071526556,-0.11430676,-0.13706854,2019-11-12 12:48:13.093000-06:00,2019-11-12 12:00
1573584493143.0,0.020252118,-0.10321103,-0.10647179,2019-11-12 12:48:13.143000-06:00,2019-11-12 12:00
1573584493193.0,0.03841478,-0.119204745,-0.04386941,2019-11-12 12:48:13.193000-06:00,2019-11-12 12:00
1573584493243.0,0.055126067,-0.090472996,-0.03245378,2019-11-12 12:48:13.243000-06:00,2019-11-12 12:00
1573584493293.0,0.019159522,-0.07547231,-0.04492529,2019-11-12 12:48:13.293000-06:00,2019-11-12 12:00
1573584493343.0,-0.00693905,-0.042339373,0.09384044,2019-11-12 12:48:13.343000-06:00,2019-11-12 12:00
1573584493393.0,-0.011282859,0.067232914,0.149694,2019-11-12 12:48:13.393000-06:00,2019-11-12 12:00
1573584493443.0,-0.08189678,0.007379345600000001,0.05702417,2019-11-12 12:48:13.443000-06:00,2019-11-12 12:00
1573584493493.0,-0.06873384,-0.027043615,0.04580316,2019-11-12 12:48:13.493000-06:00,2019-11-12 12:00
1573584493543.0,-0.052381013,-0.03218614,0.007693061,2019-11-12 12:48:13.543000-06:00,2019-11-12 12:00
